,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ppggbcs5b.mid",0.1474
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rsaga203.mid",0.04808
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7sbattle1.mid",0.1884
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ps4_vehicle_battle.mid",0.1132
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ps4battle.mid",0.151
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PS4-KingOfTerrors.mid",0.2657
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rfbossbattle.mid",0.3143
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Rayman_Skops_Battle.mid",0.2436
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Gbboss.mid",0.1976
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Resident_Evil_2_Mr_X_2.mid",0.1755
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Ristar-Boss1.mid",0.118
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\dr._wily.mid",0.3381
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rivaltrainer.mid",0.5183
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rivaltrainer2.mid",0.2477
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\RK-MugsyBattle.mid",0.165
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\RomancingSaga3_bat1.mid",0.2419
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\RomancingSaga3_bat2.mid",0.1808
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rs3nobledevils2.mid",0.1158
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FFL_Boss.mid",0.2175
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\fflcreat.mid",0.1216
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rudora_battle.mid",0.1847
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ffmqboss.mid",0.1552
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\15-BattleIntro.mid",0.3381
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bofboss.mid",0.2046
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\hm-mml2mandatron.mid",0.1257
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\fe5-attack.mid",0.1489
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ctboss2.mid",0.2284
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Grandia_-_Battle_3.mid",0.3637
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\B1L_mk64_battleresult.mid",0.134
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\DQ7battle3.mid",0.2032
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\hm-vffinal.mid",0.0646
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\fe5-attack-heavy.mid",0.3346
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7thsaga_bt2_w.mid",0.1606
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Freeze_v2.mid",0.1543
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ForceSolo3.mid",0.06818
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Enemy3.mid",0.135
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bub-boss.mid",0.08799
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\CBGiygasint.mid",0.3283
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Btbtltr.mid",0.1529
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\GS_Rivial.mid",0.2482
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BL_ed_dungeonbattle.mid",0.09869
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ADFV_-_Battle_Theme.mid",0.141
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BoF3-BossBattle_XG.mid",0.3384
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\eb_miniboss.mid",0.44
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\akkadias.mid",0.6858
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff3jboss.mid",0.2008
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\hercules4_bt.mid",0.2414
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bofbattle.mid",0.2315
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Arc4.mid",0.2168
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Btas_bb3.mid",0.1935
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff9_bb.mid",0.2826
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\csgstg1.mid",0.147
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BL_fls_boss.mid",0.1581
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7sbattle2.mid",0.1513
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\archon_battle.mid",0.1
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff6atma5.mid",0.08727
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff9_-_Last_Battle.mid",0.9755
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bossbatt-V1.1.mid",0.2835
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FrontMission_Final_Battle.mid",1.07
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\30-FortressBattle.mid",0.1245
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7batldun.mid",0.1939
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FFL3Finalboss.mid",0.1961
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7thsaga_dbt.mid",0.196
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\fe4battle1.mid",0.5272
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Battle.mid",0.1714
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\GS_trainer.mid",0.1064
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\da_KSS_RPG-battle.mid",0.1093
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\actraiser_boss_battle_3.mid",0.1184
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BoF2Devn.mid",0.4357
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\(RnH)_Battle_of_the_Last_Enemy_-_In_the_Mirror.mid",0.3267
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\GQBattle-V1.1.mid",0.1204
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Battle_in_the_Sky.mid",0.892
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Boss_Battle_(Ver._X.X).mid",0.3286
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\(MyriaFt).mid",0.1582
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\eternia.mid",0.1191
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Freeza_bat.mid",0.3903
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Freeza_Battle_(Ver._X.X).mid",0.1574
